id,text,sentiment
1,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
2,I really enjoyed the dessert; it was the highlight of the evening.,Positive
3,Everything from the appetizers to the main course was perfect!,Positive
4,A fantastic experience overall! Highly recommend trying the steak.,Positive
5,Completely overpriced for the quality of food served.,Negative
6,"The portions were generous, and the flavors were rich and satisfying.",Positive
7,"It was okay, nothing too special about the experience.",Neutral
8,A fantastic experience overall! Highly recommend trying the steak.,Positive
9,Everything from the appetizers to the main course was perfect!,Positive
10,"The ambiance was too noisy, and it ruined the meal.",Negative
11,The live music added a lovely touch to the meal.,Positive
12,The live music added a lovely touch to the meal.,Positive
13,It’s just a typical place to grab a bite—nothing memorable.,Neutral
14,"Prices were reasonable, but the quality was lacking.",Neutral
15,"It was okay, nothing too special about the experience.",Neutral
16,"The drinks were amazing, and the presentation was beautiful.",Positive
17,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
18,Everything from the appetizers to the main course was perfect!,Positive
19,The meal was average; I've had better at cheaper places.,Neutral
20,"The drinks were amazing, and the presentation was beautiful.",Positive
21,The waitstaff was incredibly friendly and accommodating.,Positive
22,"Prices were reasonable, but the quality was lacking.",Neutral
23,"It was okay, nothing too special about the experience.",Neutral
24,I left the restaurant hungry because the portions were too small.,Negative
25,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
26,The meal was average; I've had better at cheaper places.,Neutral
27,"The food was inedible, and I felt sick afterward.",Negative
28,"The ambiance was too noisy, and it ruined the meal.",Negative
29,"Prices were reasonable, but the quality was lacking.",Neutral
30,A fantastic experience overall! Highly recommend trying the steak.,Positive
31,Everything from the appetizers to the main course was perfect!,Positive
32,The meal was average; I've had better at cheaper places.,Neutral
33,A fantastic experience overall! Highly recommend trying the steak.,Positive
34,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
35,"Service was neither bad nor great, just average.",Neutral
36,The waitstaff was incredibly friendly and accommodating.,Positive
37,It’s just a typical place to grab a bite—nothing memorable.,Neutral
38,"The food was inedible, and I felt sick afterward.",Negative
39,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
40,"The service was unacceptable, and I wouldn't recommend this place.",Negative
41,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
42,It was worth every penny for such an incredible dining experience.,Positive
43,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
44,Completely overpriced for the quality of food served.,Negative
45,The waitstaff was incredibly friendly and accommodating.,Positive
46,Everything from the appetizers to the main course was perfect!,Positive
47,The waitstaff was incredibly friendly and accommodating.,Positive
48,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
49,Everything from the appetizers to the main course was perfect!,Positive
50,"The restaurant was dirty, and the tableware was not clean.",Negative
51,It was worth every penny for such an incredible dining experience.,Positive
52,"Food was served quickly, but the taste was just alright.",Neutral
53,I really enjoyed the dessert; it was the highlight of the evening.,Positive
54,Everything from the appetizers to the main course was perfect!,Positive
55,Completely overpriced for the quality of food served.,Negative
56,"The food was inedible, and I felt sick afterward.",Negative
57,"The ambiance was too noisy, and it ruined the meal.",Negative
58,"Prices were reasonable, but the quality was lacking.",Neutral
59,"Service was neither bad nor great, just average.",Neutral
60,"The ambiance of the restaurant was cozy, and the staff was very attentive.",Positive
61,I left the restaurant hungry because the portions were too small.,Negative
62,The food was absolutely delicious and the service was excellent.,Positive
63,"The ambiance of the restaurant was cozy, and the staff was very attentive.",Positive
64,"The service was unacceptable, and I wouldn't recommend this place.",Negative
65,The staff ignored us for most of the evening.,Negative
66,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
67,"The decor was fine, but nothing extraordinary.",Neutral
68,I left the restaurant hungry because the portions were too small.,Negative
69,"The food was inedible, and I felt sick afterward.",Negative
70,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
71,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
72,Completely overpriced for the quality of food served.,Negative
73,"Service was neither bad nor great, just average.",Neutral
74,I really enjoyed the dessert; it was the highlight of the evening.,Positive
75,"The restaurant was crowded and a bit noisy, but the food was decent.",Neutral
76,"It was okay, nothing too special about the experience.",Neutral
77,"The food was inedible, and I felt sick afterward.",Negative
78,"The service was unacceptable, and I wouldn't recommend this place.",Negative
79,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
80,"The food was inedible, and I felt sick afterward.",Negative
81,Completely overpriced for the quality of food served.,Negative
82,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
83,The waitstaff was incredibly friendly and accommodating.,Positive
84,The live music added a lovely touch to the meal.,Positive
85,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
86,"The restaurant was dirty, and the tableware was not clean.",Negative
